Unit,UnitGroup,FrequencyGroup,FrequencyRate,ExchangeRate,ConversionRate
EGP Billion,USD,NA,1,32414910.86,32414910.86
CRC Million,USD,NA,1,1887.148519,1887.148519
AFN Million,USD,NA,1,13431.83345,13431.83345
RWF Billion,USD,NA,1,823397.6681,823397.6681
PYG Million,USD,NA,1,134.3907195,134.3907195
USD million,USD,NA,1,1000000,1000000
MZN Million,USD,NA,1,15815.27756,15815.27756
LBP Billion,USD,NA,1,66666.66667,66666.66667
KGS Million,USD,NA,1,11195.70085,11195.70085
GHS Million,USD,NA,1,84889.64346,84889.64346
TZS Million,USD,NA,1,400.6410256,400.6410256
MNT Million,USD,NA,1,290.6976744,290.6976744
MXN Million,USD,NA,1,55157.22844,55157.22844
HNL Million,USD,NA,1,40534.2413,40534.2413
DOP Million,USD,NA,1,17636.6843,17636.6843
KHR Million,USD,NA,1,242.3654872,242.3654872
BOB Thousand,USD,NA,1,145.7725948,145.7725948
RON Million,USD,NA,1,214836.6168,214836.6168
ILS Million,USD,NA,1,248047.248,248047.248
HUF Million,USD,NA,1,2798.173352,2798.173352
BYN Million,USD,NA,1,310000,310000
AMD Million,USD,NA,1,2492.460308,2492.460308
UYU Thousand,USD,NA,1,25,25
KZT Billion,USD,NA,1,2098723.976,2098723.976
GEL Million,USD,NA,1,374531.8352,374531.8352
COP Billion,USD,NA,1,237383.0888,237383.0888
BDT Million,USD,NA,1,9090.909091,9090.909091
AZN Million,USD,NA,1,589970.5015,589970.5015
VND Billion,USD,NA,1,40666.93778,40666.93778
LKR Million,USD,NA,1,3068.425898,3068.425898
USD,USD,NA,1,1,1
GTQ Million,USD,NA,1,127713.9208,127713.9208
DZD Million,USD,NA,1,7300.373122,7300.373122
ARS Million,USD,NA,1,2856.979601,2856.979601
UGX billion,USD,NA,1,267022.6969,267022.6969
AOA Billion,USD,NA,1,1201201.201,1201201.201
SYP Million,USD,NA,1,76.92307692,76.92307692
SCR Million,USD,NA,1,76134.20938,76134.20938
KZT Million,USD,NA,1,2098.723976,2098.723976
percent of GDP,percent of GDP,NA,1,1,1
GBP Billion,USD,NA,1,1225790000,1225790000
UAH Thousand,USD,NA,1,27.39726027,27.39726027
PKR Billion,USD,NA,1,3596475.454,3596475.454
CAD Billion,USD,NA,1,730940720.7,730940720.7
BYN Thousand,USD,NA,1,310,310
AMD Billion,USD,NA,1,2492460.308,2492460.308
TRY Million,USD,NA,1,35605.65033,35605.65033
SRD Million,USD,NA,1,26455.02646,26455.02646
KES Billion,USD,NA,1,6666666.667,6666666.667
GYD Million,USD,NA,1,4808.15463,4808.15463
ETB Billion,USD,NA,1,18037225.23,18037225.23
KPW Billion,USD,NA,1,7692307.692,7692307.692
IQD Million,USD,NA,1,763.9419404,763.9419404
GMD Thousand,USD,NA,1,15.17450683,15.17450683
CUP Million,USD,NA,1,42000,42000
CDF Million,USD,NA,1,392.9273084,392.9273084
PAB Million,USD,NA,1,1000000,1000000
BZD Million,USD,NA,1,500000,500000
DZD Billion,USD,NA,1,7300373.122,7300373.122
TJS Million,USD,NA,1,91240.87591,91240.87591
MVR Million,USD,NA,1,64850.84306,64850.84306
USD/Liter,USD/Liter,NA,1,1,1
HKD Billion,USD,NA,1,127807940.5,127807940.5
ZAR Billion,USD,NA,1,52841889.67,52841889.67
JPY Hundred Million,USD,NA,1,668243.7219,668243.7219
IDR Trillion,USD,NA,1,62774639.05,62774639.05
USD Hundred Million,USD,NA,1,100000000,100000000
thousands,thousands,NA,1,1,1
Number of persons,Number of persons,NA,1,1,1
Hundred,Hundred,NA,1,1,1
Billion XPF,Billion XPF,NA,1,1,1
BBD Million,USD,NA,1,500475.4517,500475.4517
Billion BDT,Billion BDT,NA,1,1,1
FJD Million,USD,NA,1,431322.6509,431322.6509
thousand points,thousand points,NA,1,1,1
Index Points,Index Points,NA,1,1,1
doses,doses,NA,1,1,1
doses per 100 people,doses per 100 people,NA,1,1,1
VEF Million,USD,NA,1,2800,2800
million points,million points,NA,1,1,1
UGX Million,USD,NA,1,267.0226969,267.0226969
ILS Billion,USD,NA,1,248047248,248047248
PHP Billion,USD,NA,1,17596339.96,17596339.96
Units,Units,NA,1,1,1
ZAR Thousand,USD,NA,1,52.84188967,52.84188967
CAD Thousand,USD,NA,1,730.9407207,730.9407207
Thousands Square Metre,Thousands Square Metre,NA,1,1,1
ZMW Thousand,USD,NA,1,46.14674665,46.14674665
MDL Million,USD,NA,1,55152.63492,55152.63492
ISK Billion,USD,NA,1,7263746.641,7263746.641
TZS Billion,USD,NA,1,400641.0256,400641.0256
MGA Billion,USD,NA,1,224215.2466,224215.2466
Thousand BOB,Thousand BOB,NA,1,1,1
VES Million,USD,NA,1,28800,28800
TND Thousand,USD,NA,1,317.5712153,317.5712153
CNY Billion,USD,NA,1,136901534.9,136901534.9
JMD Million,USD,NA,1,6494.349916,6494.349916
GEL Thousands,USD,NA,1,374.5318352,374.5318352
SLL Million,USD,NA,1,44.55136773,44.55136773
GYD Billion,USD,NA,1,4808154.63,4808154.63
LRD Million,USD,NA,1,5347.593583,5347.593583
IQD Billion,USD,NA,1,763941.9404,763941.9404
GMD Million,USD,NA,1,15174.50683,15174.50683
UYU Million,USD,NA,1,25000,25000
TJS Thousand,USD,NA,1,91.24087591,91.24087591
SDG Million,USD,NA,1,1670.424565,1670.424565
INR Tens of Million,USD,NA,1,120450.0012,120450.0012
MWK Billion,USD,NA,1,884666.0828,884666.0828
LBP Million,USD,NA,1,66.66666667,66.66666667
KGS Thousand,USD,NA,1,11.19570085,11.19570085
CLP Million,USD,NA,1,1073.710206,1073.710206
NGN Billion,USD,NA,1,1132502.831,1132502.831
TWD Billion,USD,NA,1,30997179.26,30997179.26
TRY Billion,USD,NA,1,35605650.33,35605650.33
KES million,USD,NA,1,6666.666667,6666.666667
Tonnes,Tonnes,NA,1,1,1
MUR million,USD,NA,1,22614.20172,22614.20172
PYG Thousand,USD,NA,1,0.13439072,0.13439072
TZS million,USD,NA,1,400.6410256,400.6410256
AED Billion,USD,NA,1,272301492.2,272301492.2
Gigawatt-hour,Gigawatt-hour,NA,1,1,1
%,%,NA,1,1,1
SIPRI TIV Million,SIPRI TIV Million,NA,1,1,1
Thousands,Thousands,NA,1,1,1
Years,Years,NA,1,1,1
VES Thousand,USD,NA,1,28.8,28.8
COP Million,USD,NA,1,237.3830888,237.3830888
thousand,thousand,NA,1,1,1
per 1000 people,per 1000 people,NA,1,1,1
KRW Million,USD,NA,1,744.6071825,744.6071825
Thousand units,Thousand units,NA,1,1,1
dwellings,dwellings,NA,1,1,1
ETB Million,USD,NA,1,18037.22523,18037.22523
index points,index points,NA,1,1,1
per one million people,per one million people,NA,1,1,1
MYR Billion,USD,NA,1,209205020.9,209205020.9
INR Tens Of Million,USD,NA,1,120450.0012,120450.0012
percentage points,percentage points,NA,1,1,1
Thousands Person,Thousands Person,NA,1,1,1
JPY Thousand,USD,NA,1,6.682437219,6.682437219
INR Million,USD,NA,1,12045.00012,12045.00012
KHR Thousand,USD,NA,1,0.242365487,0.242365487
CNY,USD,NA,1,0.136901535,0.136901535
BDT Thousand,USD,NA,1,9.090909091,9.090909091
BBL/D/1K,BBL/D/1K,NA,1,1,1
CNY Million,USD,NA,1,136901.5349,136901.5349
KT,KT,NA,1,1,1
BRL Thousand,USD,NA,1,199.4495193,199.4495193
Hundreds,Hundreds,NA,1,1,1
Companies,Companies,NA,1,1,1
Companies and Individuals,Companies and Individuals,NA,1,1,1
Individuals,Individuals,NA,1,1,1
GBP,USD,NA,1,1.22579,1.22579
NOK,USD,NA,1,0.090377507,0.090377507
NZD,USD,NA,1,0.58572,0.58572
AUD Thousand,USD,NA,1,634.89,634.89
EUR,USD,NA,1,1.06727,1.06727
KZT Thousand,USD,NA,1,2.098723976,2.098723976
SAR Billion,USD,NA,1,266588467.4,266588467.4
Terajoule,Terajoule,NA,1,1,1
Thousand Tonnes,Thousand Tonnes,NA,1,1,1
persons,persons,NA,1,1,1
Hours,Hours,NA,1,1,1
CAD,USD,NA,1,0.730940721,0.730940721
units,units,NA,1,1,1
Million Square Metre,Million Square Metre,NA,1,1,1
Tens of Thousands Square Metre,Tens of Thousands Square Metre,NA,1,1,1
Net Balance,Net Balance,NA,1,1,1
GBP/MWh,GBP/MWh,NA,1,1,1
EUR/MWh,EUR/MWh,NA,1,1,1
Million Units,Million Units,NA,1,1,1
Thousand Units,Thousand Units,NA,1,1,1
Hundred Units,Hundred Units,NA,1,1,1
Thousands of Ton,Thousands of Ton,NA,1,1,1
Thousands of Tonnes,Thousands of Tonnes,NA,1,1,1
Ten Thousands of Tonnes,Ten Thousands of Tonnes,NA,1,1,1
JPY Million,USD,NA,1,6682.437219,6682.437219
Kg,Kg,NA,1,1,1
Thousand Barrels Per Da,Thousand Barrels Per Da,NA,1,1,1
Thousand Barrels,Thousand Barrels,NA,1,1,1
billion cubic feet,billion cubic feet,NA,1,1,1
Billion USD,USD,NA,1,1000000000,1000000000
Billion Bushels,Billion Bushels,NA,1,1,1
USD Trillion,USD,NA,1,1.00E+12,1.00E+12
Trillion USD,USD ,NA,1,1.00E+12,1.00E+12
BBL/1Million,BBL/1Million,NA,1,1,1
Thousand USD,Thousand USD,NA,1,1,1
General,General,NA,1,1,1
